id,name,popularity,duration_ms,album_name,release_date,artist_name,genre,artist_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year
3G7XYAwtxtoGK7fAm4IlD9,Classic Man (feat. Roman GianArthur),61,226000,Classic Man (feat. Roman GianArthur),2015-02-03,Jidenna,ghanaian hip hop,58,0.79,0.585,-6.058,0.0348,0.185,0,0.292,0.585,94.072,2015
7x5xYW5W42OGPAdHUyyguy,Locked Away (feat. Adam Levine),74,227480,What Dreams Are Made Of,2015-10-09,R. City,reggae fusion,64,0.509,0.671,-5.709,0.0678,0.304,0,0.0452,0.55,118.413,2015
37k7igIs7IrMVUadwWKHJ6,Make Up (feat. Chloe Angelides),48,206706,What Dreams Are Made Of,2015-10-09,R. City,reggae fusion,64,0.646,0.601,-5.446,0.0737,0.0154,0,0.0832,0.659,80.031,2015
3EofjRgUI1WrzqqtLb8NoF,Cheyenne,55,215107,Everything Is 4,2015-05-29,Jason Derulo,dance pop,87,0.554,0.768,-5.812,0.127,0.0126,7.13E-06,0.122,0.324,99.679,2015
4tg1G3X26wDTmQbipgxhp5,Try Me (feat. Jennifer Lopez and Matoma),59,200240,Everything Is 4,2015-05-29,Jason Derulo,dance pop,87,0.579,0.68,-5.634,0.076,0.0157,0,0.0699,0.211,100.033,2015
5t4B1kAlCD13YY9poph0Mg,Stitches,55,206880,Handwritten (Revisited),2015-11-20,Shawn Mendes,canadian pop,92,0.594,0.754,-6.684,0.11,0.0153,0,0.0486,0.74,73.184,2015
36phXHOKx8rO7CMp2vNX4x,Love Myself,72,218773,HAIZ,2016-02-26,Hailee Steinfeld,dance pop,77,0.617,0.759,-6.785,0.0678,0.0026,0,0.419,0.324,122.924,2016
16e3Ly7ddGqqnFDiWWWwnc,Back Together,44,224306,Back Together,2015-08-06,Robin Thicke,dance pop,66,0.736,0.785,-5.296,0.0694,0.0925,0,0.0964,0.774,117.91,2015
6ZANrVuAMp2rpjhfbOuJly,Same Old Love,67,229080,Revival (Deluxe),2015-10-09,Selena Gomez,dance pop,86,0.672,0.593,-4.01,0.0304,0.0223,0,0.214,0.438,98.02,2015
1wHZx0LgzFHyeIZkUydNXq,Antidote,77,262693,Rodeo (Expanded Edition),2015-09-04,Travis Scott,rap,93,0.713,0.526,-5.046,0.032,0.00767,0.000148,0.124,0.131,131.05,2015
4OjuzM3rTWp3q60mEldNSF,Hit the Quan - Original Version,65,181080,Hit the Quan,2015-10-09,iLoveMemphis,None,51,0.741,0.488,-8.253,0.362,0.000235,0,0.0488,0.625,160.018,2015
0hy1SOTEn9ifXTzOwnCwEr,All Eyes on You (feat. Chris Brown & Nicki Minaj),69,223973,Dreams Worth More Than Money,2015-06-29,Meek Mill,hip hop,81,0.589,0.658,-5.288,0.203,0.0242,0,0.118,0.251,77.521,2015
6pf9datdAtxQj4EU8UYHSx,Levels,57,167693,Nick Jonas X2,2015-11-20,Nick Jonas,dance pop,69,0.432,0.656,-4.669,0.428,0.0488,0,0.256,0.66,199.246,2015
6ukMqDxnOPOgoHdak7Kyp3,Marvin Gaye (feat. Meghan Trainor),69,190453,Some Type of Love,2015-05-01,Charlie Puth,dance pop,81,0.795,0.616,-5.281,0.06,0.417,0,0.349,0.815,110.015,2015
5lVabPJOwU8e6sAptZQs9Y,Beg For It,47,178107,Reclassified,2014-10-01,Iggy Azalea,australian hip hop,74,0.807,0.747,-4.31,0.0471,0.229,0.000111,0.0884,0.4,93.009,2014
0PxcoUrgHYxueN01gfbif5,Wake Up,51,193511,Wake Up (Deluxe),2015-10-13,The Vamps,boy band,76,0.603,0.782,-6.356,0.0311,0.00553,1.84E-06,0.0774,0.251,93.984,2015
0BO6iWcPj20UGEl224pHWA,Good Girls,58,206423,5 Seconds Of Summer,2014-06-27,5 Seconds of Summer,boy band,82,0.528,0.911,-5.203,0.0792,0.0152,0,0.121,0.576,141.064,2014
3nef5W8jTkXrOKgCu4kmq7,Dangerous Woman,71,235946,Dangerous Woman,2016-04-01,Ariana Grande,pop,97,0.662,0.602,-5.369,0.0401,0.0529,0,0.356,0.29,133.969,2016
29CFPJaBW3ZfVeCI8EDnQa,Not Myself Tonight,55,186493,Bionic (Deluxe Version),2010-06-08,Christina Aguilera,dance pop,81,0.757,0.812,-5.178,0.0395,0.00137,0.018,0.563,0.542,120.015,2010
41AkeKKXDMHNilgvPofG4b,Does Ya Mama Know? (Dance Like That) #HEYNOW,42,180091,Does Ya Mama Know? (Dance Like That) #HEYNOW,2015-10-09,99 Percent,None,47,0.772,0.642,-7.641,0.135,0.0133,0,0.42,0.551,101.977,2015
2SHnUyZq0zwmvRIl4WY77G,Alive,54,290760,Play Hard EP,2012-06-18,Krewella,big room,65,0.663,0.822,-2.909,0.0557,0.00413,0.00318,0.234,0.567,128.002,2012
3Mf5lroDtECoRWVUWnHCo8,Twerk It Like Miley,60,200280,Truth,2016-07-22,Brandon Beal,danish pop,51,0.621,0.41,-7.806,0.386,0.199,0,0.11,0.337,68.055,2016
1TnUURhehaoMWKAqQtirm6,Colors,71,249499,BADLANDS,2015-08-28,Halsey,dance pop,88,0.512,0.812,-4.809,0.0617,0.0534,0,0.092,0.521,100.02,2015
57Em2VvHxGlN9bLtfRIsg4,Sex,43,228361,Sex,2016-05-13,Cheat Codes,dance pop,77,0.51,0.692,-5.825,0.171,0.00451,0,0.138,0.209,102.42,2016
3lSDIJ2abCrOdDJ6pshUap,Close,70,234213,Last Year Was Complicated,2016-06-10,Nick Jonas,dance pop,69,0.654,0.623,-5.273,0.082,0.253,0,0.144,0.401,123.996,2016
2bocAPQcUTLUXx8lAOTiK3,Team,61,209466,Team,2016-03-18,Iggy Azalea,australian hip hop,74,0.891,0.692,-4.989,0.0673,0.0545,0,0.608,0.218,100.023,2016
3G5iN5QBqMeXx3uZPy8tgB,Young Girls,65,228720,Unorthodox Jukebox,2012-12-07,Bruno Mars,dance pop,88,0.561,0.749,-4.951,0.032,0.461,1.82E-06,0.205,0.501,125.986,2012
6SKwQghsR8AISlxhcwyA9R,Marry You,75,230120,Doo-Wops & Hooligans,2010-10-05,Bruno Mars,dance pop,88,0.62,0.832,-4.848,0.036,0.332,0,0.104,0.481,144.926,2010
3B5UbSndRz907IZhhmUfLi,Count on Me,70,197373,Doo-Wops & Hooligans,2010-10-05,Bruno Mars,dance pop,88,0.577,0.397,-5.98,0.028,0.84,0,0.0772,0.509,89.044,2010
6j7hih15xG2cdYwIJnQXsq,Not Over You,71,218520,Sweeter,2011-09-16,Gavin DeGraw,acoustic pop,67,0.63,0.894,-4.592,0.0544,0.255,0,0.181,0.364,142.051,2011
1MSM3Fo2fvnwVqMcz8Jhjq,Cecilia And The Satellite,62,223879,Andrew McMahon In The Wilderness,2014-10-14,Andrew McMahon in the Wilderness,hopebeat,54,0.381,0.844,-7.123,0.144,0.0131,0,0.318,0.239,194,2014
4h0zU3O9R5xzuTmNO7dNDU,Lost Boy,76,275280,Lost Boy,2015-08-21,Ruth B,canadian contemporary r&b,70,0.71,0.0565,-15.099,0.0534,0.965,0,0.0889,0.348,123.994,2015
3U1TuSqHIubBA10cVP7Sk6,I Think I'm In Love,68,202666,My Garden,2015-01-09,Kat Dahlia,hip pop,56,0.632,0.638,-6.731,0.0505,0.137,0,0.125,0.574,121.868,2015
3Te8uLyit6X3ncNW8Fp3K2,Immortals,75,189386,American Beauty/American Psycho,2015-01-20,Fall Out Boy,emo,81,0.616,0.868,-3.606,0.0699,0.00131,1.54E-06,0.671,0.475,108.016,2015
5YHR8wBR5jXfGtP766NiAT,If It Ain't Love,60,203105,If It Ain't Love,2016-04-01,Jason Derulo,dance pop,87,0.503,0.843,-4.991,0.316,0.0487,0,0.344,0.778,128.63,2016
1zi7xx7UVEFkmKfv06H8x0,One Dance,81,173986,Views,2016-05-06,Drake,canadian hip hop,96,0.792,0.625,-5.609,0.0536,0.00776,0.0018,0.329,0.37,103.967,2016
476j7IDRIDRvv1Xu71EVc8,Never Be Like You,64,233337,Skin,2016-05-27,Flume,australian dance,75,0.56,0.551,-5.446,0.0563,0.445,0,0.163,0.263,119.777,2016
052vSBPxqdmYRDlkSPiavc,Cry Baby,69,239080,Cry Baby (Deluxe Edition),2015-08-14,Melanie Martinez,dance pop,81,0.686,0.691,-4.616,0.0371,0.257,0,0.145,0.477,95.046,2015
0QMiI7yf8rHfwdfvJIgvrE,Nerds - Studio,49,206329,what,2013-12-17,Bo Burnham,antiviral pop,57,0.764,0.722,-6.033,0.106,0.32,0.000604,0.0787,0.369,134.095,2013
4rfaoyaZvNa60cj3OKSQV9,Migraine,68,239014,Vessel,2013-01-08,Twenty One Pilots,modern rock,84,0.69,0.678,-6.52,0.154,0.11,0,0.246,0.409,173.995,2013
3ZAMtgYJFoHwJjFkhkXqKr,Dance (A$$) Remix,64,220293,Finally Famous,2011-01-01,Big Sean,detroit hip hop,84,0.787,0.73,-6.788,0.35,0.0276,0.00157,0.0828,0.739,159.825,2011
70ludZZEUJy1aFVkPI0Kpi,Drop It Like It's Hot,69,266066,R&G (Rhythm & Gangsta): The Masterpiece,2004-01-01,Snoop Dogg,g funk,84,0.892,0.628,-3.832,0.216,0.169,0,0.102,0.676,92.063,2004
0PT7nlpo11hYYyfnBgtilT,Nasty Freestyle,65,142212,Nasty Freestyle,2015-05-04,T-Wayne,houston rap,54,0.779,0.472,-7.116,0.218,0.0577,0,0.114,0.412,135.051,2015
12PNcnMsjsZ3eHm62t8hiy,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",71,232506,Victory,2010-03-02,DJ Khaled,dance pop,82,0.545,0.781,-3.616,0.185,0.0139,0,0.161,0.277,150.097,2010
0Nf3vtVBfiayZL7c8r4KBO,Gas Pedal,52,207266,Gas Pedal,2013-01-01,Sage The Gemini,dance pop,67,0.845,0.54,-7.864,0.127,0.0299,0,0.12,0.443,97.516,2013
0k5hoseEJnCAbpRh38dNoI,Title,54,174733,Title (Deluxe),2015-01-09,Meghan Trainor,dance pop,82,0.779,0.754,-4.358,0.0966,0.343,2.60E-06,0.0965,0.883,89.998,2015
4FIGPeDYXfTsq0Zu3QYNgd,Pills N Potions,33,267973,The Pinkprint (Deluxe),2014-12-15,Nicki Minaj,dance pop,89,0.432,0.586,-8.087,0.145,0.00978,1.27E-05,0.0467,0.217,169.012,2014
3kZoay4ANo86ehb6s4RwS9,Ridin',71,303053,The Sound of Revenge,2005-01-01,Chamillionaire,dirty south rap,62,0.787,0.799,-4.68,0.0993,0.189,0,0.3,0.835,143.052,2005
4pAl7FkDMNBsjykPXo91B3,Needed Me,80,191600,ANTI (Deluxe),2016-01-28,Rihanna,barbadian pop,89,0.671,0.314,-8.091,0.244,0.11,0,0.0825,0.296,110.898,2016
6FJN9EiWE5Fh20WYrHfB5N,Boys & Girls,56,241160,Boys & Girls,2016-04-08,will.i.am,dance pop,75,0.898,0.741,-6.385,0.0533,0.324,0.0028,0.0894,0.638,107.998,2016
07nHpBQ9itIMxguWZOk5Fb,Used To Love You,44,227680,This Is What The Truth Feels Like,2016-03-18,Gwen Stefani,dance pop,78,0.623,0.654,-5.408,0.0674,0.0183,1.70E-06,0.398,0.193,96.017,2016
0bHA8LApeZHv7ZlhVUWg8X,American Oxygen,60,320161,American Oxygen,2015-04-14,Rihanna,barbadian pop,89,0.391,0.745,-6.296,0.0884,0.0497,0,0.329,0.483,78.205,2015
2Z8WuEywRWYTKe1NybPQEW,Ride,81,214506,Blurryface,2015-05-15,Twenty One Pilots,modern rock,84,0.645,0.713,-5.355,0.0393,0.00835,0,0.113,0.566,74.989,2015
0azC730Exh71aQlOt9Zj3y,This Is What You Came For (feat. Rihanna),79,222160,This Is What You Came For (feat. Rihanna),2016-04-29,Calvin Harris,dance pop,86,0.63,0.928,-2.787,0.0331,0.199,0.124,0.148,0.465,123.963,2016
0TGo5ZC5htwJBS9ZY41Uon,Panda,43,227386,Class Of '16,2020-04-17,Various Artists,None,0,0.759,0.707,-5.826,0.343,0.0257,4.28E-06,0.367,0.32,145.518,2020
4qULqxfCRhJAXVc75UupQB,No Broken Hearts (feat. Nicki Minaj),61,239991,No Broken Hearts (feat. Nicki Minaj),2016-03-16,Bebe Rexha,dance pop,82,0.704,0.722,-3.524,0.045,0.0522,0,0.0645,0.675,122.094,2016
68ehjcnIVcKjX0QtdBDgZP,BedRock,54,289253,BedRock,2009-01-01,Young Money,dirty south rap,66,0.738,0.695,-5.764,0.219,0.118,0,0.13,0.566,148.004,2009
59ZTxQo8rBycIXPLUIKvE2,Dirrty (feat. Redman),69,298853,Stripped,2002-07-19,Christina Aguilera,dance pop,81,0.64,0.889,-3.073,0.322,0.107,0,0.339,0.436,99.931,2002
0UHB9METy4VCXNgkcGqHqS,Kiss It Better,70,253080,ANTI (Deluxe),2016-01-28,Rihanna,barbadian pop,89,0.619,0.806,-4.8,0.0483,0.272,0,0.0671,0.877,95,2016
1zi7xx7UVEFkmKfv06H8x0,One Dance,81,173986,Views,2016-05-06,Drake,canadian hip hop,96,0.792,0.625,-5.609,0.0536,0.00776,0.0018,0.329,0.37,103.967,2016
